item_id,category,item_type,company,model,weight_oz,price_usd,quantity,total_price_usd,season_rating,material,color,waterproof,capacity_liters,essential_level,notes
161,Pet Gear,Dog Pack,Ruffwear,Approach Pack,16,109.95,1,109.95,4,Nylon,Orange,Water Resistant,10,Medium,Ruffwear Approach Pack backpacking dog pack
162,Pet Gear,Dog Bowl,Ruffwear,Quencher Bowl,1.5,19.95,1,19.95,4,Nylon,Blue,Water Resistant,1,Medium,Ruffwear Quencher Bowl backpacking dog bowl
163,Pet Gear,Dog Leash,Ruffwear,Roamer Leash,6.5,44.95,1,44.95,4,Nylon,Green,No,0,Medium,Ruffwear Roamer Leash backpacking dog leash
164,Pet Gear,Dog Jacket,Ruffwear,Stumptown Jacket,8,89.95,1,89.95,4,Polyester,Red,Water Resistant,0,Medium,Ruffwear Stumptown Jacket backpacking dog jacket
165,Pet Gear,Dog Boots,Ruffwear,Grip Trex Boots,8,39.95,1,39.95,4,Rubber,Black,Water Resistant,0,Medium,Ruffwear Grip Trex Boots backpacking dog boots
166,Pet Gear,Dog Sleeping Pad,Klymit,Moon Dog Bed,30,49.95,1,49.95,4,Inflatable,Green,No,0,Medium,Klymit Moon Dog Bed backpacking dog sleeping pad
167,Pet Gear,Dog First Aid Kit,Adventure Medical Kits,Trail Dog Kit,6,29.99,1,29.99,4,Nylon,Red,Water Resistant,0,Medium,Adventure Medical Kits Trail Dog Kit backpacking dog first aid kit
168,Pet Gear,Dog Food Bag,Ruffwear,Kibble Kaddie,10,49.95,1,49.95,4,Nylon,Gray,Water Resistant,10,Medium,Ruffwear Kibble Kaddie backpacking dog food bag
169,Pet Gear,Dog Collar Light,Nite Ize,SpotLit LED Collar Light,0.6,9.99,1,9.99,4,Plastic,Blue,Water Resistant,0,Medium,Nite Ize SpotLit LED Collar Light backpacking dog collar light
170,Pet Gear,Dog Towel,PackTowl,Dog Towel,4,14.95,1,14.95,4,Microfiber,Orange,No,0,Medium,PackTowl Dog Towel backpacking dog towel
171,Camera Gear,Tripod,Joby,GorillaPod 1K,7,34.95,1,34.95,4,Plastic/Metal,Black,No,0,Medium,Joby GorillaPod 1K backpacking tripod
172,Camera Gear,Camera Clip,Peak Design,Capture Clip,3,74.95,1,74.95,4,Aluminum,Black,Water Resistant,0,Medium,Peak Design Capture Clip backpacking camera clip
173,Camera Gear,Lens Cloth,Zeiss,Lens Wipes,0.1,0.2,1,0.2,4,Fabric,White,No,0,Medium,Zeiss Lens Wipes backpacking lens cloth
174,Camera Gear,Memory Card,SanDisk,Extreme 128GB,0.1,18.99,1,18.99,4,Plastic,Red,Water Resistant,0,Medium,SanDisk Extreme 128GB backpacking memory card
175,Camera Gear,Camera Bag,Peak Design,Everyday Sling 3L,19,89.95,1,89.95,4,Nylon,Black,Water Resistant,3,Medium,Peak Design Everyday Sling 3L backpacking camera bag
176,Camera Gear,Action Mount,GoPro,Shorty Mini Extension Pole,2.2,39.99,1,39.99,4,Plastic,Black,Water Resistant,0,Medium,GoPro Shorty Mini Extension Pole backpacking action mount
177,Camera Gear,Drone,DJI,Mini 4 Pro,8.8,759.0,1,759.0,4,Plastic,Gray,No,0,Medium,DJI Mini 4 Pro backpacking drone
178,Camera Gear,Drone Battery,DJI,Mini 4 Pro Battery,2.7,65.0,1,65.0,4,Lithium,Gray,No,0,Medium,DJI Mini 4 Pro Battery backpacking drone battery
179,Camera Gear,Camera Rain Cover,Think Tank,Emergency Rain Cover,3,39.75,1,39.75,4,Nylon,Black,Yes,0,Medium,Think Tank Emergency Rain Cover backpacking camera rain cover
180,Camera Gear,Portable SSD,Samsung,T7 Shield 1TB,3.5,99.99,1,99.99,4,Rubber/Metal,Black,Water Resistant,0,Medium,Samsung T7 Shield 1TB backpacking portable ssd
181,Luxury,Camp Table,Helinox,Table One Hard Top,30,169.95,1,169.95,4,Aluminum,Black,No,0,Medium,Helinox Table One Hard Top backpacking camp table
182,Luxury,Coffee Press,AeroPress,Go Travel Coffee Press,11.5,39.95,1,39.95,4,Plastic,Gray,No,0,Medium,AeroPress Go Travel Coffee Press backpacking coffee press
183,Luxury,Book,Penguin,Trail Paperback,8,12.99,1,12.99,4,Paper,Multi,No,0,Medium,Penguin Trail Paperback backpacking book
184,Luxury,Hammock,ENO,Sub6 Hammock,5.8,69.95,1,69.95,4,Nylon,Blue,No,0,Medium,ENO Sub6 Hammock backpacking hammock
185,Luxury,Hammock Straps,ENO,Helios Suspension System,4.1,34.95,1,34.95,4,Polyester,Gray,No,0,Medium,ENO Helios Suspension System backpacking hammock straps
186,Luxury,Camp Shower,Sea to Summit,Pocket Shower,4.3,36.95,1,36.95,4,Nylon,Black,Yes,10,Medium,Sea to Summit Pocket Shower backpacking camp shower
187,Luxury,Puffy Pants,Montbell,Thermawrap Pants,9,169.0,1,169.0,4,Synthetic,Black,No,0,Medium,Montbell Thermawrap Pants backpacking puffy pants
188,Luxury,Wine Flask,HydraPak,Stow Bottle 500ml,1.5,17.95,1,17.95,4,Plastic,Red,Waterproof,0.5,Medium,HydraPak Stow Bottle 500ml backpacking wine flask
189,Luxury,Playing Cards,Bicycle,Standard Deck,3.3,3.99,1,3.99,4,Paper,Multi,No,0,Medium,Bicycle Standard Deck backpacking playing cards
190,Luxury,Journal,Moleskine,Pocket Journal,4,14.95,1,14.95,4,Paper,Black,No,0,Medium,Moleskine Pocket Journal backpacking journal
